longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.27,37.85,43.24721246116717,751.0,191.0,409.0,166.0,1.3578,147500.0,NEAR BAY
-122.27,37.85,48.04261332301127,1639.0,373.0,929.0,366.0,1.7135,159800.0,NEAR BAY
-122.27,37.84,52.0,2436.0,473.0,1015.0,478.0,1.725,113900.0,NEAR BAY
-122.27,37.84,52.0,1688.0,355.0,853.0,325.0,2.1806,99700.0,NEAR BAY
-122.27,37.84,52.0,2224.0,440.0,1006.0,422.0,2.6,132600.0,NEAR BAY
-122.28,37.85,40.19846588009132,535.0,114.0,317.0,119.0,2.4038,107500.0,NEAR BAY
-122.28,37.85,48.703252523090086,1130.0,239.0,607.0,239.0,2.4597,93800.0,NEAR BAY
-122.28,37.85,49.96742200142642,1898.0,423.0,1102.0,397.0,1.808,105500.0,NEAR BAY
-122.28,37.84,48.81828260305478,2082.0,558.0,1131.0,473.0,1.6424,108900.0,NEAR BAY
-122.28,37.84,52.0,729.0,180.0,395.0,155.0,1.6875,132000.0,NEAR BAY
-122.28,37.84,45.19736421928598,1916.0,524.0,863.0,378.0,1.9274,122300.0,NEAR BAY
-122.28,37.84,52.0,2153.0,439.0,1168.0,441.0,1.9615,115200.0,NEAR BAY
-122.27,37.84,48.601215923285366,1922.0,348.0,1026.0,335.0,1.7969,110400.0,NEAR BAY
-122.27,37.83,50.41790626945398,1655.0,427.0,754.0,329.0,1.375,104900.0,NEAR BAY
-122.27,37.83,51.53579377384576,2665.0,653.0,1258.0,536.0,2.7303,109700.0,NEAR BAY
-122.27,37.83,48.05939589864205,1215.0,351.0,570.0,264.0,1.4861,97200.0,NEAR BAY
-122.27,37.83,48.542566990516505,1798.0,411.0,987.0,374.0,1.0972,104500.0,NEAR BAY
-122.28,37.83,52.0,1511.0,384.0,901.0,403.0,1.4103,103900.0,NEAR BAY
-122.26,37.83,52.0,1470.0,362.0,689.0,309.0,3.48,191400.0,NEAR BAY
-122.26,37.83,52.0,2432.0,842.0,1377.0,696.0,2.5898,176000.0,NEAR BAY
-122.26,37.83,52.0,1665.0,385.0,946.0,395.0,2.0978,155400.0,NEAR BAY
-122.26,37.83,47.50303913603084,936.0,267.0,517.0,249.0,1.2852,150000.0,NEAR BAY
-122.26,37.84,48.124711263664175,713.0,182.0,462.0,189.0,1.025,118800.0,NEAR BAY
-122.26,37.84,52.0,950.0,192.0,467.0,198.0,3.9643,188800.0,NEAR BAY
-122.26,37.83,52.0,1443.0,375.0,660.0,292.0,3.0125,184400.0,NEAR BAY
-122.26,37.83,50.25591975015459,1656.0,383.0,718.0,382.0,2.6768,182300.0,NEAR BAY
-122.26,37.83,51.279445435415155,1125.0,291.0,616.0,304.0,2.026,142500.0,NEAR BAY
-122.27,37.82,50.812277212939165,1007.0,319.0,558.0,253.0,1.7348,137500.0,NEAR BAY
-122.26,37.82,41.75330655037752,624.0,233.0,423.0,160.0,0.9506,187500.0,NEAR BAY
-122.27,37.82,42.96762883491858,946.0,375.0,700.0,352.0,1.775,112500.0,NEAR BAY
-122.27,37.82,17.568172657874207,896.0,462.0,735.0,438.0,0.9218,171900.0,NEAR BAY
-122.27,37.82,48.74243040658883,1868.0,538.0,1061.0,407.0,1.5045,93800.0,NEAR BAY
-122.27,37.82,43.83978166934206,3221.0,881.0,1959.0,720.0,1.1108,97500.0,NEAR BAY
-122.27,37.82,52.0,1630.0,543.0,1162.0,400.0,1.2475,104200.0,NEAR BAY
-122.28,37.82,51.45592983906601,1170.0,201.0,701.0,233.0,1.6098,87500.0,NEAR BAY
-122.28,37.82,50.95357025735339,945.0,232.0,576.0,220.0,1.4113,83100.0,NEAR BAY
-122.28,37.82,52.0,1238.0,253.0,622.0,259.0,1.5057,87500.0,NEAR BAY
-122.28,37.82,52.0,1489.0,355.0,728.0,244.0,0.8172,85300.0,NEAR BAY
-122.28,37.82,52.0,1387.0,319.0,1074.0,304.0,1.2171,80300.0,NEAR BAY
-122.29,37.82,3.635490387214145,158.0,42.0,94.0,57.0,2.5625,60000.0,NEAR BAY
-122.29,37.83,52.0,1121.0,256.0,554.0,187.0,3.3929,75700.0,NEAR BAY
-122.29,37.82,51.61717518330877,135.0,26.0,86.0,23.0,6.1183,75000.0,NEAR BAY
-122.29,37.81,52.0,760.0,164.0,377.0,122.0,0.9011,86100.0,NEAR BAY
-122.3,37.81,52.0,1224.0,247.0,521.0,159.0,1.191,76100.0,NEAR BAY
-122.3,37.81,52.0,828.0,161.0,392.0,133.0,2.5938,73500.0,NEAR BAY
-122.3,37.81,48.0815348483217,1010.0,255.0,604.0,187.0,1.1667,78400.0,NEAR BAY
-122.3,37.81,52.0,1455.0,420.0,788.0,332.0,0.8056,84400.0,NEAR BAY
-122.29,37.8,50.16766286897936,1027.0,263.0,492.0,147.0,2.6094,81300.0,NEAR BAY
-122.3,37.81,49.52489848752402,572.0,132.0,274.0,82.0,1.8516,85000.0,NEAR BAY
-122.29,37.81,48.44194044738915,2801.0,779.0,1823.0,611.0,0.9802,129200.0,NEAR BAY
-122.29,37.81,22.24426271596103,768.0,173.0,392.0,127.0,1.7719,82500.0,NEAR BAY
-122.29,37.81,52.0,935.0,294.0,582.0,277.0,0.7286,95200.0,NEAR BAY
-122.29,37.81,52.0,844.0,229.0,560.0,152.0,1.75,75000.0,NEAR BAY
-122.29,37.81,50.40441265646941,12.0,5.0,18.0,7.0,0.4999,67500.0,NEAR BAY
-122.29,37.81,15.20967968703522,835.0,139.0,290.0,133.0,2.483,137500.0,NEAR BAY
-122.28,37.81,19.72761443278555,1237.0,406.0,762.0,439.0,0.9241,177500.0,NEAR BAY
-122.28,37.81,38.23820750112576,2914.0,565.0,1236.0,509.0,2.4464,102100.0,NEAR BAY
-122.28,37.81,16.066475373881396,1207.0,211.0,721.0,207.0,1.1111,108300.0,NEAR BAY
-122.29,37.81,19.98991669662205,1745.0,357.0,1054.0,325.0,0.8026,112500.0,NEAR BAY
-122.28,37.8,42.04188387402184,684.0,199.0,344.0,155.0,2.0114,131300.0,NEAR BAY
-122.28,37.81,16.143963542964393,924.0,264.0,609.0,289.0,1.5,162500.0,NEAR BAY
-122.27,37.81,52.0,210.0,62.0,183.0,56.0,1.1667,112500.0,NEAR BAY
-122.28,37.81,52.0,340.0,94.0,200.0,87.0,1.5208,112500.0,NEAR BAY
-122.28,37.81,52.0,386.0,191.0,346.0,155.0,0.8075,137500.0,NEAR BAY
-122.28,37.81,42.02672236498182,948.0,189.0,467.0,169.0,1.8088,118800.0,NEAR BAY
-122.28,37.81,52.0,773.0,178.0,377.0,115.0,2.4083,98200.0,NEAR BAY
-122.27,37.81,39.64616836688129,880.0,455.0,582.0,380.0,0.977,118800.0,NEAR BAY
-122.27,37.81,5.566689029387527,875.0,313.0,546.0,330.0,0.76,162500.0,NEAR BAY
-122.27,37.8,8.961984954344267,105.0,41.0,125.0,39.0,0.9722,137500.0,NEAR BAY
-122.27,37.8,52.0,249.0,83.0,396.0,85.0,1.2434,500001.0,NEAR BAY
-122.27,37.8,20.16446479586771,994.0,348.0,800.0,362.0,2.0938,162500.0,NEAR BAY
-122.28,37.8,52.0,215.0,86.0,904.0,88.0,0.8668,137500.0,NEAR BAY
-122.28,37.8,51.62689325432697,96.0,32.0,191.0,34.0,0.75,162500.0,NEAR BAY
-122.27,37.79,31.91312157921064,1055.0,401.0,718.0,302.0,2.6354,187500.0,NEAR BAY
-122.27,37.8,41.71129991530888,1715.0,610.0,1327.0,467.0,1.8477,179200.0,NEAR BAY
-122.26,37.8,39.9921233831023,5329.0,2874.0,3469.0,2323.0,2.0096,130000.0,NEAR BAY
-122.26,37.82,27.96465688052504,4596.0,1564.0,2048.0,1180.0,2.8345,183800.0,NEAR BAY
-122.26,37.81,29.185391805440034,335.0,129.0,202.0,91.0,2.0062,125000.0,NEAR BAY
-122.26,37.82,20.13112667040712,3682.0,1458.0,2024.0,1250.0,1.2185,170000.0,NEAR BAY
-122.26,37.82,36.46492818262823,3633.0,991.0,1838.0,980.0,2.6104,193100.0,NEAR BAY
-117.04,32.8,12.670666004587028,1802.0,506.0,630.0,428.0,2.0337,146700.0,<1H OCEAN
-121.29,38.89,13.66611915213293,653.0,109.0,407.0,146.0,3.3889,110800.0,INLAND
-118.15,33.77,35.37681030573858,2428.0,543.0,1312.0,612.0,2.7212,266300.0,NEAR OCEAN
-118.47,33.99,20.70163435863305,1438.0,404.0,665.0,416.0,2.975,500001.0,<1H OCEAN
-121.77,37.33,8.185747884088006,3160.0,522.0,1675.0,470.0,7.5443,348400.0,<1H OCEAN
-118.5,33.97,32.60033637666117,2737.0,828.0,1157.0,696.0,5.128,500001.0,<1H OCEAN
-122.96,38.26,26.00458092851939,1982.0,430.0,308.0,132.0,3.1429,240900.0,NEAR OCEAN
-118.39,34.08,29.192345482357275,6605.0,1480.0,2665.0,1520.0,3.8088,500001.0,<1H OCEAN
-117.91,34.07,42.107882337818566,1390.0,262.0,887.0,266.0,5.0897,189000.0,<1H OCEAN
-117.85,33.85,17.002891546584895,4678.0,950.0,2427.0,1020.0,4.2276,254100.0,<1H OCEAN
-119.92,38.91,14.118242662538936,3831.0,544.0,984.0,328.0,5.0718,162500.0,INLAND
-122.49,37.67,28.605440782691822,3795.0,618.0,2494.0,696.0,5.2848,260300.0,NEAR OCEAN
-117.71,33.65,13.224063779666288,3774.0,445.0,1587.0,430.0,8.6088,307400.0,<1H OCEAN
-118.36,33.91,41.77846424852457,2064.0,433.0,1366.0,421.0,4.1,243100.0,<1H OCEAN
-117.27,33.04,26.402720996886245,1839.0,346.0,1302.0,404.0,3.55,214600.0,NEAR OCEAN
-121.96,37.3,25.18081097882295,4040.0,971.0,2181.0,843.0,4.0403,303400.0,<1H OCEAN
-122.16,37.74,48.521169085414826,1029.0,212.0,567.0,211.0,3.4844,129500.0,NEAR BAY
-117.47,34.12,7.77992977216532,10565.0,1659.0,5690.0,1555.0,4.1797,141000.0,INLAND
-117.72,34.0,10.034944839466169,4363.0,834.0,2410.0,666.0,5.4824,179700.0,INLAND
-118.31,33.75,41.848490450676664,2338.0,354.0,1031.0,373.0,6.287,396400.0,NEAR OCEAN
-118.19,33.9,38.76944048360093,2762.0,600.0,2677.0,632.0,2.5719,105600.0,<1H OCEAN
-117.05,32.57,10.69926619555222,2880.0,661.0,2450.0,567.0,3.1696,138000.0,NEAR OCEAN
-122.17,37.71,36.80236236630152,890.0,235.0,481.0,198.0,3.244,179800.0,NEAR BAY
-122.28,37.49,30.760131989942284,4148.0,736.0,1638.0,627.0,6.912,457200.0,NEAR OCEAN
-117.91,33.75,14.724847844588718,2346.0,721.0,3842.0,674.0,3.0635,160000.0,<1H OCEAN
-119.25,34.26,37.7872015038524,2948.0,885.0,1635.0,750.0,2.67,214900.0,NEAR OCEAN
-118.12,33.86,32.34804683400308,2116.0,367.0,972.0,396.0,4.8516,213600.0,<1H OCEAN
-120.04,36.96,25.336667558022164,2126.0,439.0,2091.0,491.0,1.3713,51800.0,INLAND
-118.38,33.86,20.49059289378333,1778.0,299.0,908.0,330.0,7.674,329300.0,<1H OCEAN
-122.35,37.95,45.12681070138607,2142.0,488.0,1318.0,431.0,3.0737,111600.0,NEAR BAY
-118.23,33.9,49.50394946597924,1285.0,234.0,840.0,211.0,3.4107,112500.0,<1H OCEAN
-117.57,33.91,19.093897187579792,2620.0,425.0,1324.0,362.0,5.3735,214600.0,INLAND
-122.34,37.55,46.80908138183667,2465.0,285.0,843.0,324.0,6.9533,500001.0,NEAR OCEAN
-118.46,34.05,27.25623795794244,3639.0,905.0,1489.0,983.0,4.6197,387500.0,<1H OCEAN
-122.19,37.78,52.0,2198.0,372.0,984.0,369.0,3.22,156500.0,NEAR BAY
-117.99,33.88,11.031755274914204,2298.0,600.0,1261.0,527.0,4.2422,159400.0,<1H OCEAN
-119.05,36.06,23.56851457111234,2344.0,509.0,1184.0,406.0,3.1625,70600.0,INLAND
-119.19,34.15,28.65905717410356,4175.0,1097.0,3310.0,954.0,3.1989,185400.0,NEAR OCEAN
-121.62,36.67,45.85827437674355,1827.0,361.0,1507.0,410.0,2.8942,129000.0,<1H OCEAN
-116.77,33.92,21.1209264441751,2307.0,520.0,1266.0,437.0,1.6875,63000.0,INLAND
-119.1,35.79,15.213247234807671,1809.0,419.0,2051.0,416.0,1.8144,49800.0,INLAND
-119.06,34.37,30.859190081248833,3885.0,671.0,2504.0,736.0,3.6453,201700.0,<1H OCEAN
-121.86,39.75,25.058595121977916,1651.0,280.0,856.0,293.0,3.5046,118300.0,INLAND
-118.02,34.13,36.39704850859254,1966.0,384.0,980.0,297.0,7.7307,429000.0,INLAND
-118.05,34.06,25.946355967806955,1022.0,255.0,1570.0,297.0,3.023,142000.0,<1H OCEAN
-118.09,33.98,41.79583788037549,1226.0,242.0,1068.0,271.0,3.1607,172200.0,<1H OCEAN
-122.51,38.06,28.644207973946486,9493.0,2312.0,5162.0,1880.0,3.0742,118800.0,NEAR BAY
-117.94,34.06,27.631527426975495,3418.0,707.0,2003.0,622.0,4.0333,210200.0,<1H OCEAN
-118.37,34.02,48.2130661407557,1944.0,489.0,981.0,377.0,2.6154,193200.0,<1H OCEAN
-118.26,33.85,29.91016352146609,9071.0,1302.0,4558.0,1327.0,5.542,197500.0,<1H OCEAN
-121.28,38.68,13.1571924946904,3467.0,589.0,1478.0,601.0,3.75,147300.0,INLAND
-118.11,33.91,34.15297319399944,889.0,198.0,597.0,163.0,4.9609,186700.0,<1H OCEAN
-117.2,33.38,12.724976017478324,5392.0,865.0,2350.0,810.0,5.0507,291500.0,<1H OCEAN
-118.2,34.11,50.98410679328425,1901.0,463.0,1856.0,480.0,3.0,156400.0,<1H OCEAN
-118.38,34.05,43.64839904954588,2352.0,509.0,1133.0,563.0,3.238,287500.0,<1H OCEAN
-117.18,32.84,26.448098230900307,2290.0,548.0,1272.0,472.0,3.5606,165100.0,NEAR OCEAN
-119.7,34.4,28.643341834442825,1858.0,482.0,865.0,460.0,3.0938,312500.0,NEAR OCEAN
-118.51,34.3,30.542138304790896,6145.0,760.0,2710.0,875.0,7.5078,344000.0,<1H OCEAN
-116.39,33.69,14.052046487060283,11659.0,2225.0,2186.0,1083.0,6.9833,238800.0,INLAND
-117.28,32.83,34.72426239665032,2392.0,691.0,933.0,619.0,3.7306,500000.0,NEAR OCEAN
-122.45,40.85,20.69678699690392,2701.0,698.0,892.0,358.0,2.7736,107800.0,INLAND
-117.87,33.72,43.94624923811099,3167.0,603.0,2789.0,619.0,3.5902,165900.0,<1H OCEAN
-119.32,36.31,23.353346015936477,2309.0,432.0,1047.0,453.0,2.9886,87500.0,INLAND
-122.27,37.54,11.10375412149363,2126.0,374.0,905.0,306.0,8.9083,500001.0,NEAR BAY
-122.71,38.5,17.57472414219826,5645.0,912.0,2324.0,769.0,6.6104,330900.0,<1H OCEAN
-119.77,36.77,34.59296813761433,2554.0,698.0,2669.0,655.0,1.2176,61900.0,INLAND
-121.44,38.64,17.38186298481893,1756.0,511.0,837.0,320.0,1.125,70500.0,INLAND
-117.16,32.8,44.058495534480066,422.0,87.0,211.0,80.0,3.0625,159700.0,NEAR OCEAN
-119.78,36.65,31.759321004461185,1226.0,207.0,706.0,211.0,2.77,68400.0,INLAND
-122.16,39.78,34.462829726949536,1288.0,198.0,562.0,203.0,2.325,69600.0,INLAND
-118.19,33.86,42.77137185430794,2009.0,527.0,1449.0,451.0,2.7045,155400.0,<1H OCEAN
-117.09,32.72,29.028936489596667,1096.0,278.0,716.0,224.0,1.6944,111800.0,NEAR OCEAN
-118.29,33.92,29.17205798384795,2503.0,573.0,1735.0,505.0,2.7368,162800.0,<1H OCEAN
-122.29,37.55,32.67955347160725,3789.0,844.0,2243.0,866.0,4.39,270100.0,NEAR OCEAN
-120.76,37.61,36.82833157493272,816.0,189.0,531.0,147.0,3.2604,87900.0,INLAND
-118.58,34.22,31.67220556762194,2560.0,507.0,1428.0,468.0,5.6345,228200.0,<1H OCEAN
-117.67,33.47,18.06314113222181,2728.0,691.0,1081.0,566.0,1.6393,500001.0,<1H OCEAN
-119.16,34.2,31.799402446160666,2183.0,719.0,3504.0,623.0,1.9704,160300.0,NEAR OCEAN
-117.29,33.18,15.191923231336402,3780.0,890.0,1632.0,721.0,2.7644,111400.0,NEAR OCEAN
-119.57,36.71,10.515989194052896,1657.0,425.0,958.0,380.0,2.6458,84800.0,INLAND
-118.15,34.19,50.308838923501774,1854.0,413.0,1126.0,382.0,3.2216,161600.0,<1H OCEAN
-118.1,34.01,25.589166145222567,2077.0,645.0,2087.0,543.0,2.66,189200.0,<1H OCEAN
-118.27,34.04,10.61819351795782,1784.0,,2158.0,682.0,1.7038,118100.0,<1H OCEAN
-117.25,33.08,18.55137652769228,3651.0,469.0,1311.0,435.0,7.5402,340300.0,NEAR OCEAN
-118.14,34.06,40.083838462737745,2390.0,428.0,1246.0,422.0,3.7857,245700.0,<1H OCEAN
-118.21,34.04,52.0,1325.0,396.0,1557.0,352.0,2.8,148400.0,<1H OCEAN
-120.66,35.13,36.09654292107997,2666.0,898.0,940.0,507.0,1.9653,236100.0,<1H OCEAN
-117.92,33.75,10.170705437771272,2325.0,592.0,1511.0,565.0,3.3629,137500.0,<1H OCEAN
-120.15,39.36,16.115117924996817,2254.0,413.0,694.0,243.0,5.6856,138100.0,INLAND
-118.08,33.89,30.56828096889631,1035.0,309.0,1545.0,269.0,3.0357,123400.0,<1H OCEAN
-122.07,37.91,25.679244456788563,1731.0,309.0,810.0,295.0,5.0391,259800.0,NEAR BAY
-117.18,34.05,33.33084830963425,3436.0,876.0,1323.0,676.0,2.4943,122300.0,INLAND
-117.93,33.82,27.926816046085932,2444.0,685.0,1848.0,567.0,3.0179,198800.0,<1H OCEAN
-117.17,32.79,46.68899131437298,1269.0,317.0,946.0,285.0,2.1447,133300.0,NEAR OCEAN
-119.55,36.69,16.381156397619026,1551.0,484.0,1519.0,406.0,1.7132,55900.0,INLAND
-122.02,37.94,26.26670467156763,3516.0,653.0,1465.0,623.0,4.2569,213100.0,NEAR BAY
-122.14,37.44,47.41857315419301,3117.0,432.0,1114.0,421.0,6.6756,500001.0,NEAR BAY
-121.92,37.24,30.682148516842958,6777.0,968.0,3319.0,1061.0,6.3663,279400.0,<1H OCEAN
-121.82,38.01,43.147869029099915,1017.0,269.0,798.0,266.0,2.1719,99100.0,INLAND
-116.94,32.8,24.582806621149697,3042.0,687.0,1964.0,703.0,2.4141,137500.0,<1H OCEAN
-118.19,33.86,38.054267035250575,2013.0,469.0,1659.0,522.0,3.1215,153600.0,<1H OCEAN
-121.31,37.96,47.86806776192506,2654.0,404.0,1157.0,494.0,3.226,107600.0,INLAND
-117.98,33.81,31.493743327589527,3528.0,716.0,2304.0,764.0,2.582,181800.0,<1H OCEAN
-117.97,34.05,43.94912225578173,931.0,192.0,746.0,201.0,3.1667,158000.0,<1H OCEAN
-117.56,33.94,11.00216538196151,575.0,90.0,318.0,88.0,7.0215,257100.0,INLAND
-121.88,37.44,16.45906347756472,2073.0,415.0,1107.0,330.0,6.7093,311200.0,<1H OCEAN
-122.14,37.41,31.334258369740347,2419.0,403.0,949.0,433.0,6.4588,437100.0,NEAR BAY
-122.28,37.86,52.0,1659.0,318.0,788.0,346.0,2.8214,164300.0,NEAR BAY
-118.0,33.91,22.595182275263106,5166.0,739.0,2374.0,753.0,5.979,285200.0,<1H OCEAN
-122.73,38.26,30.638262698096092,3941.0,551.0,1668.0,620.0,4.385,317700.0,<1H OCEAN
-118.34,34.02,52.0,1614.0,380.0,684.0,318.0,4.2218,181000.0,<1H OCEAN
-121.77,36.92,10.743315681576567,4934.0,1365.0,3198.0,977.0,3.5,194800.0,<1H OCEAN
-122.04,37.39,5.536280024598948,8745.0,2717.0,3959.0,2019.0,4.7685,280100.0,<1H OCEAN
-118.27,34.09,52.0,2327.0,577.0,1048.0,491.0,3.7847,252300.0,<1H OCEAN
-118.46,34.26,33.35039990171488,1358.0,243.0,738.0,235.0,5.0947,210300.0,<1H OCEAN
-122.2,37.75,37.253341581567,606.0,114.0,531.0,133.0,1.5809,70000.0,NEAR BAY
-122.54,38.36,37.36117495475972,2725.0,641.0,1167.0,458.0,3.7969,202800.0,<1H OCEAN
-121.98,38.37,20.177145693583572,3027.0,771.0,2018.0,642.0,2.8438,111500.0,INLAND
-122.22,37.78,49.9919289553134,2968.0,645.0,2269.0,610.0,2.3906,111700.0,NEAR BAY
-122.26,37.55,14.4297487360473,4576.0,923.0,1941.0,807.0,5.9572,443800.0,NEAR BAY
-117.76,34.07,51.42478379174347,1538.0,467.0,1173.0,388.0,2.3156,109800.0,INLAND
-122.59,38.44,21.857448596138894,1665.0,465.0,505.0,348.0,3.183,201200.0,<1H OCEAN
-117.76,34.06,28.07579755217175,1700.0,533.0,1719.0,459.0,2.227,91900.0,INLAND
-117.92,33.73,23.918820328204774,1692.0,275.0,934.0,280.0,4.4728,205800.0,<1H OCEAN
-117.83,33.88,24.93916708147323,2112.0,348.0,1048.0,315.0,6.9308,231700.0,<1H OCEAN
-121.96,38.33,1.0,7985.0,1542.0,3664.0,1215.0,4.976,158300.0,INLAND
-122.0,38.35,25.027485423511706,745.0,103.0,300.0,115.0,3.6176,158500.0,INLAND
-121.37,38.58,38.52881235919623,2839.0,378.0,1006.0,400.0,7.3343,280400.0,INLAND
-118.25,34.01,27.077696350677655,481.0,126.0,596.0,128.0,1.2396,90300.0,<1H OCEAN
-116.98,32.75,20.61541398409058,4137.0,728.0,1905.0,630.0,4.375,214000.0,<1H OCEAN
-122.44,37.78,50.141913284190174,1118.0,320.0,514.0,284.0,2.4196,346200.0,NEAR BAY
-122.58,38.58,28.241885340219692,2723.0,660.0,1549.0,556.0,2.3942,183100.0,INLAND
-122.3,38.32,18.097248774261352,2063.0,465.0,1045.0,460.0,2.5035,153200.0,NEAR BAY
-121.39,38.59,38.50128412177203,2091.0,553.0,1053.0,470.0,2.2264,108100.0,INLAND
-118.45,34.04,25.634717742518152,3330.0,879.0,1837.0,915.0,3.0173,393800.0,<1H OCEAN
-120.24,37.21,26.561897597035408,2447.0,422.0,1313.0,352.0,3.3929,93800.0,INLAND
-116.91,32.82,12.925308871415346,1978.0,525.0,1085.0,387.0,3.8073,170100.0,<1H OCEAN
-121.77,37.68,48.74756858172574,1501.0,373.0,629.0,288.0,4.6806,209400.0,INLAND
-117.87,33.78,32.01356269319856,2022.0,488.0,1196.0,463.0,3.7454,186000.0,<1H OCEAN
-118.13,33.76,52.0,2216.0,587.0,940.0,530.0,4.5469,381000.0,NEAR OCEAN
-118.25,33.93,37.07209030928976,819.0,253.0,899.0,228.0,1.1346,85400.0,<1H OCEAN
-117.05,32.63,32.30382276475327,4911.0,1033.0,2334.0,843.0,4.1958,160100.0,NEAR OCEAN
-119.29,36.34,35.848270950091035,1440.0,385.0,2178.0,440.0,1.2634,50600.0,INLAND
-121.88,37.33,44.87741185727638,1192.0,386.0,1084.0,345.0,2.8594,205900.0,<1H OCEAN
-118.28,34.02,48.2614960623052,281.0,91.0,470.0,96.0,1.9375,38800.0,<1H OCEAN
-118.36,34.05,49.00481390038983,1835.0,418.0,956.0,370.0,3.2813,243600.0,<1H OCEAN
-118.31,34.08,52.0,2549.0,600.0,1539.0,594.0,2.6218,350900.0,<1H OCEAN
-118.01,34.12,31.443797976345213,1937.0,320.0,922.0,340.0,3.94,278400.0,INLAND
-121.3,38.74,46.385995531795174,4374.0,1064.0,2387.0,959.0,2.3611,87900.0,INLAND
-118.38,34.18,32.3850023057698,4834.0,1628.0,3847.0,1432.0,2.1449,165300.0,<1H OCEAN
-117.1,32.68,39.70722785760618,2013.0,687.0,1920.0,557.0,2.0724,107600.0,NEAR OCEAN
-118.37,33.85,29.763780123415753,3662.0,694.0,1626.0,611.0,6.3974,410000.0,<1H OCEAN
-118.38,34.06,33.30281657700596,3946.0,888.0,1676.0,876.0,2.7824,450000.0,<1H OCEAN
-122.01,37.94,26.336757210381062,1619.0,192.0,706.0,220.0,6.0704,268000.0,NEAR BAY
-121.39,38.55,15.483090419815476,1734.0,518.0,783.0,447.0,1.9044,154300.0,INLAND
-118.23,34.21,36.57742598848344,2584.0,737.0,1217.0,568.0,3.3287,273400.0,<1H OCEAN
-117.93,33.85,28.459754764191814,1026.0,284.0,1646.0,283.0,4.2019,163900.0,<1H OCEAN
-119.85,36.8,20.250978069797693,1876.0,308.0,1031.0,311.0,3.6563,88800.0,INLAND
-118.21,34.04,31.32815065139537,1825.0,534.0,2097.0,480.0,2.1862,135300.0,<1H OCEAN
-118.43,34.22,32.46977559228475,1588.0,330.0,1080.0,340.0,3.66,184600.0,<1H OCEAN
-117.63,33.47,5.5269243042476575,2320.0,446.0,1408.0,477.0,6.3369,256000.0,NEAR OCEAN
-118.0,33.76,7.8768322566906726,1250.0,361.0,1047.0,334.0,3.0625,208800.0,<1H OCEAN
-119.49,34.39,24.90943239423229,4617.0,930.0,2303.0,923.0,3.9224,230600.0,NEAR OCEAN
-122.91,39.03,12.074011150574375,2374.0,678.0,723.0,427.0,1.3532,95800.0,INLAND
-121.98,37.36,33.86579837049082,1735.0,352.0,1019.0,301.0,4.5625,242700.0,<1H OCEAN
-117.88,33.76,34.7821548938085,2988.0,839.0,2354.0,666.0,3.4345,235500.0,<1H OCEAN
-116.97,32.8,11.370796259370861,3927.0,1130.0,2204.0,977.0,2.4367,111400.0,<1H OCEAN
-121.93,36.63,26.022237212855064,3983.0,1042.0,1582.0,778.0,3.5147,313900.0,NEAR OCEAN
-117.99,34.13,35.90793176154166,1568.0,399.0,1618.0,350.0,2.9605,129400.0,INLAND
